TABLE_NAME,FIELD_NAME,DATA_TYPE,CONSTRAINTS,DESCRIPTION,PURPOSE
users,id,TEXT,PRIMARY KEY,Unique user identifier,User management system
users,email,TEXT,UNIQUE NOT NULL,User email address,Authentication and contact
users,name,TEXT,NOT NULL,User full name,Display name
users,timezone,TEXT,DEFAULT 'UTC',User timezone,Localization
users,preferences,TEXT,JSON DEFAULT '{}',User preferences JSON,Settings storage
users,created_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Creation timestamp,Audit trail
users,updated_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Last update timestamp,Audit trail

sessions,id,TEXT,PRIMARY KEY,Session identifier,User session tracking
sessions,user_id,TEXT,REFERENCES users(id),Foreign key to user,Session ownership
sessions,start_date,TEXT,NOT NULL,Session start date (YYYY-MM-DD),Daily session tracking
sessions,end_date,TEXT,NULL,Session end date (YYYY-MM-DD),Session completion
sessions,active_window_start,INTEGER,NULL,Active window start minute (0-1439),Work hours definition
sessions,active_window_end,INTEGER,NULL,Active window end minute (0-1439),Work hours definition
sessions,block_duration_minutes,INTEGER,DEFAULT 30,Time block duration,Block size configuration
sessions,session_metadata,TEXT,JSON DEFAULT '{}',Session configuration JSON,Flexible settings
sessions,created_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Creation timestamp,Audit trail

time_blocks,id,TEXT,PRIMARY KEY,Time block identifier (date|duration|startMin),Time block management
time_blocks,user_id,TEXT,REFERENCES users(id),Foreign key to user,Block ownership
time_blocks,session_id,TEXT,REFERENCES sessions(id),Foreign key to session,Session association
time_blocks,date,TEXT,NOT NULL,Block date (YYYY-MM-DD),Date organization
time_blocks,start_minute,INTEGER,NOT NULL,Start minute of day (0-1439),Time positioning
time_blocks,end_minute,INTEGER,NOT NULL,End minute of day (0-1439),Time positioning
time_blocks,duration_minutes,INTEGER,NOT NULL,Block duration in minutes,Block size
time_blocks,status,TEXT,DEFAULT 'future',Block status (past|current|future|active|completed),State tracking
time_blocks,is_pinned,INTEGER,DEFAULT 0,Pin status prevents auto-move,Task protection
time_blocks,is_recently_moved,INTEGER,DEFAULT 0,Visual feedback flag,UI indication
time_blocks,created_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Creation timestamp,Audit trail
time_blocks,updated_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Last update timestamp,Audit trail

tasks,id,TEXT,PRIMARY KEY,Task identifier,Task management
tasks,user_id,TEXT,REFERENCES users(id),Foreign key to user,Task ownership
tasks,title,TEXT,NOT NULL,Task title,Display name
tasks,description,TEXT,NULL,Task description,Additional details
tasks,type,TEXT,DEFAULT 'custom',Task type (calendar|notion|custom|voice),Source classification
tasks,status,TEXT,DEFAULT 'pending',Task status (pending|active|completed|cancelled),State tracking
tasks,priority,TEXT,DEFAULT 'medium',Task priority (low|medium|high|urgent),Prioritization
tasks,color,TEXT,DEFAULT 'bg-blue-500',UI color class,Visual categorization
tasks,estimated_duration,INTEGER,NULL,Estimated duration in minutes,Planning
tasks,actual_duration,INTEGER,NULL,Actual duration in minutes,Tracking
tasks,source_id,TEXT,NULL,External source identifier,Integration
tasks,source_url,TEXT,NULL,External source URL,Integration
tasks,tags,TEXT,JSON DEFAULT '[]',Task tags array,Categorization
tasks,metadata,TEXT,JSON DEFAULT '{}',Additional task data,Flexible storage
tasks,created_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Creation timestamp,Audit trail
tasks,updated_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Last update timestamp,Audit trail

task_assignments,id,TEXT,PRIMARY KEY,Assignment identifier,Block-task relationship
task_assignments,user_id,TEXT,REFERENCES users(id),Foreign key to user,Assignment ownership
task_assignments,time_block_id,TEXT,REFERENCES time_blocks(id),Foreign key to time block,Block association
task_assignments,task_id,TEXT,REFERENCES tasks(id),Foreign key to task,Task association
task_assignments,assignment_type,TEXT,DEFAULT 'manual',Assignment type (manual|auto|voice|drag),Source tracking
task_assignments,sequence_number,INTEGER,DEFAULT 1,Sequence in multi-block tasks,Ordering
task_assignments,is_primary,INTEGER,DEFAULT 1,Primary assignment flag,Main task indicator
task_assignments,created_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Creation timestamp,Audit trail
task_assignments,updated_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Last update timestamp,Audit trail

goals,id,TEXT,PRIMARY KEY,Goal identifier,Goal management
goals,user_id,TEXT,REFERENCES users(id),Foreign key to user,Goal ownership
goals,title,TEXT,NOT NULL,Goal title,Display name
goals,description,TEXT,NULL,Goal description,Additional details
goals,goal_type,TEXT,NOT NULL,Goal type (daily|weekly|monthly|yearly|exciting|eoy),Time scope
goals,target_date,TEXT,NULL,Target completion date (YYYY-MM-DD),Deadline
goals,status,TEXT,DEFAULT 'active',Goal status (active|completed|cancelled|postponed),State tracking
goals,priority,TEXT,DEFAULT 'medium',Goal priority (low|medium|high|urgent),Prioritization
goals,color,TEXT,DEFAULT 'bg-green-500',UI color class,Visual categorization
goals,progress_percentage,INTEGER,DEFAULT 0,Progress percentage (0-100),Progress tracking
goals,metadata,TEXT,JSON DEFAULT '{}',Additional goal data,Flexible storage
goals,created_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Creation timestamp,Audit trail
goals,updated_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Last update timestamp,Audit trail

goal_assignments,id,TEXT,PRIMARY KEY,Goal assignment identifier,Block-goal relationship
goal_assignments,user_id,TEXT,REFERENCES users(id),Foreign key to user,Assignment ownership
goal_assignments,time_block_id,TEXT,REFERENCES time_blocks(id),Foreign key to time block,Block association
goal_assignments,goal_id,TEXT,REFERENCES goals(id),Foreign key to goal,Goal association
goal_assignments,assignment_weight,REAL,DEFAULT 1.0,Weight of this block toward goal,Progress calculation
goal_assignments,created_at,INTEGER,DEFAULT (strftime('%s','now')*1000),Creation timestamp,Audit trail

progress_events,id,TEXT,PRIMARY KEY,Progress event identifier,Progress tracking
progress_events,user_id,TEXT,REFERENCES users(id),Foreign key to user,Event ownership
progress_events,time_block_id,TEXT,REFERENCES time_blocks(id),Foreign key to time block,Block association
progress_events,task_id,TEXT,REFERENCES tasks(id) NULL,Foreign key to task,Task association
progress_events,goal_id,TEXT,REFERENCES goals(id) NULL,Foreign key to goal,Goal association
progress_events,event_type,TEXT,NOT NULL,Event type (start|pause|resume|complete|interrupt|timeout),Action classification
progress_events,response_type,TEXT,NULL,User response (done|still_doing|stick_to_plan|timeout),Progress check response
